title_id,contents,td_idf,ranking
721109,키스,86.66822036,45
721109,아웃팅,77.230782,46
721109,양성애,76.60508852,47
721109,이성,75.0040585,48
721109,사장님,74.80664018,49
721109,바텀이,74.59026636,50
721109,병이,68.80718453,51
721109,비엘은,67.66822208,52
721109,혁이,66.96137199,53
721109,현우도,64.88620584,54
721109,싫으면,62.58422512,55
721109,똥꼬,62.06552023,56
721109,이성애도,60.42889777,57
721109,원준이,60.42889777,57
721109,우워어어어어엌,57.7346471,59
721109,민성아,57.33341277,60
721109,비엘을,56.81146692,61
721109,성적,52.68343044,62
721109,커플,52.36433781,63
721109,오현우,51.60007149,64
721109,현우한테,50.98201887,65
721109,호모포비,50.75116656,66
721109,비엘물,49.28636139,67
721109,원본,48.64092239,68
721109,비정상,48.36191703,69
721109,댕댕이,48.32757422,70
721109,레즈는,48.03058657,71
721109,편견,47.19791745,72
721109,연애,46.26472391,73
721109,이성애를,45.44917353,74
721109,이성애는,45.36293701,75
721109,수위,43.60893076,76
721109,지엘,43.35739988,77
721109,성적지향,42.62300935,78
721109,민성이,42.62300935,78
721109,섹스,42.58881804,80
721109,이성이든,42.43340039,81
721109,현우의,41.71256089,82
721109,항문성교,41.71256089,82
721109,서준이,40.69847069,84
721109,존중,40.67092028,85
721109,바텀은,40.13338894,86
721109,지향,39.99869749,87
721109,국어,39.67784128,88
721109,악플,38.63509878,89
721109,레즈도,38.615391,90
721109,더럽다고,38.27923402,91
721109,포항항,38.06337492,92
721109,수요일,37.02431284,93
721109,즈에,36.67756355,94
721109,소아성애,36.60241708,95
721109,룸메,36.56256616,96
721109,바텀,35.84462647,97
721109,좋아하는,35.55054125,98
721109,주접,34.7028115,99
721109,즈가,34.05773758,100
738145,미쉬,218.5006076,1
738145,담의,197.1314182,2
738145,담이가,173.8818766,3
738145,미쉬가,128.5297691,4
738145,담이,124.3239027,5
738145,율리,81.16718447,6
738145,코나가,77.11786149,7
738145,립스,67.63217296,8
738145,아포칼,66.31024347,9
738145,코나의,51.41190766,10
738145,담이한테,38.53640436,11
738145,담은,34.66601538,12
738145,식물,32.56558107,13
738145,미쉬도,32.13244229,14
738145,미파가,32.13244229,14
738145,코나,30.8923128,16
738145,레나,30.29944902,17
738145,뜨개방,28.90230327,18
738145,능소화,28.66670638,19
738145,늙어,27.93115845,20
738145,미파는,25.70595383,21
738145,가시덤불이,25.70595383,21
738145,미쉬나,25.70595383,21
738145,미쉬랑,25.70595383,21
738145,숲속,24.94662825,25
738145,담과,22.93336511,26
738145,마을,22.40982332,27
738145,모퉁이,22.31062954,28
738145,담을,21.61818773,29
738145,레나랑,21.31150468,30
738145,식물이,20.13150344,31
738145,싱고늄,19.27946537,32
738145,플로랑,19.27946537,32
738145,플로는,19.27946537,32
738145,숲의,19.16326302,35
738145,숲에서,19.10181028,36
738145,자라게,18.18492943,37
738145,니케가,17.20002383,38
738145,미파,17.20002383,38
738145,숲에,16.66146428,40
738145,능력,16.15440225,41
738145,포스,15.24694807,42
738145,수명을,15.24595251,43
738145,레나가,14.45115164,44
738145,트아포칼,14.45115164,44
738145,자동차,14.02791703,46
738145,어하루,13.90418696,47
738145,고립된,13.4440942,48
738145,사막화,13.44173493,49
738145,엘사,13.10828096,50
