id,keyword,rank
300957,씬에서,1
300957,되다니,2
300957,스케일,3
300957,대중화,4
300957,왔으니까,5
308751,원조신데,1
308751,부엉이,2
308751,이시합,3
308751,황준호,4
308751,토닠,5
308801,신후,1
308801,마녀죠,2
308801,안경을,3
308801,편씨라서,4
308801,짤게라도,5
310616,라크,1
310616,호수가,2
310616,희야,3
310616,희웅아,4
310616,이언,5
312979,위안부,1
312979,조상들을,2
312979,분할하거나,3
312979,극우로,4
312979,연쇄작용,5
316909,그판세의,1
316909,왕자,2
316914,위안부,1
316914,형에게,2
316914,뻐끔뻐끔뻐끔뻐끔뻐끔,3
316914,형만,4
316914,서든이,5
317362,생때냐,1
317362,아나두,2
317362,불타오를,3
317362,밸리밴스는,4
317362,에집,5
317365,고삼즈,1
317365,대학,2
317365,매지컬,3
317365,매지컬고삼즈,4
317365,메지컬고삼즈,5
318995,제아봉침,1
318995,중모리,2
318995,딘이,3
318995,금제,4
318995,단아한,5
325630,기태류,1
325630,재생단체장로일족를,2
325630,태아긴,3
325630,몸들이다,4
325630,새미아빠막지말고,5
325631,주째,1
325631,라뽁아,2
325631,쉴더,3
325631,웅철이,4
325631,의섬,5
332797,힐링,1
332797,수요일,2
332797,권혁주,3
332797,감동,4
332797,풀은,5
337962,나이인가,1
337962,혁집,2
337962,가이가,3
337962,지각에,4
337962,캠퍼스,5
350217,사마귀는,1
350217,교배,2
350217,강남건물주,3
350217,옥수,4
350217,박이,5
374970,제조기시군요,1
374970,살면가식떨지마,2
374970,뜻깊었다,3
374970,빽한,4
374970,터보려는,5
374973,선녀,1
374973,낭자,2
374973,광종,3
374973,효의가,4
374973,산신,5
387518,이동건님,1
387518,돌직구,2
387518,콧수염,3
387518,유료화,4
387518,동수가,5
395444,거북이,1
395444,거붇이한테,2
395444,독수리,3
395444,비유된듯,4
395444,현대용어로는,5
400735,신안염전노예,1
400735,벗도,2
400735,벼슬,3
400735,집권했더라도,4
400735,이리다오,5
400738,부토보러옴,1
400738,한닼내,2
400738,홍차,3
400738,올것가틈,4
400738,호떡,5
400739,화요,1
400739,지각,2
400739,노블레스,3
